代码,名称,最新价,涨跌幅,成交额,最高,最低,昨收
510300,沪深300,4.575,0.95,1718956900.0,4.578,4.548,4.532
588000,科创50,1.761,3.83,5466404897.0,1.762,1.72,1.696
510880,红利,3.339,-0.24,245603824.0,3.361,3.326,3.347
512800,银行,0.837,0.0,477426725.0,0.843,0.831,0.837
512170,医疗,0.339,0.59,403428671.0,0.344,0.337,0.337
159928,消费,0.652,0.46,71202824.17,0.653,0.647,0.649
512480,半导体,1.05,4.9,1131745174.0,1.051,1.015,1.001
159920,恒生,1.453,0.83,117478033.9,1.457,1.447,1.441
513130,恒生科技,0.543,1.88,1362156696.0,0.544,0.536,0.533
516160,新能源,2.318,1.05,62525461.0,2.327,2.302,2.294
512000,券商,0.505,1.2,545719357.0,0.506,0.5,0.499
512660,军工,1.16,1.58,173204862.0,1.162,1.145,1.142
159995,芯片,1.163,4.4,575229050.881,1.164,1.13,1.114
518880,黄金,8.911,0.62,2360106394.0,8.955,8.896,8.856
159915,创业板,3.386,2.02,4076997626.246,3.387,3.332,3.319
