代码,名称,最新价,涨跌幅,成交额,最高,最低,昨收
510300,沪深300,4.547,-0.11,1420616436.0,4.568,4.531,4.552
588000,科创50,1.642,1.8,4350034275.0,1.666,1.608,1.613
510880,红利,3.393,-0.32,195740861.0,3.409,3.384,3.404
512800,银行,0.848,-0.93,664111480.0,0.855,0.845,0.856
512170,医疗,0.334,0.0,122494243.0,0.335,0.332,0.334
159928,消费,0.657,0.0,79599531.1,0.66,0.655,0.657
512480,半导体,0.967,2.11,751572126.0,0.981,0.94,0.947
159920,恒生,1.457,-0.34,87235356.7,1.462,1.455,1.462
513130,恒生科技,0.538,0.37,1021631213.0,0.542,0.535,0.536
516160,新能源,2.324,0.0,40670798.0,2.339,2.303,2.324
512000,券商,0.502,-0.2,279370474.0,0.505,0.502,0.503
512660,军工,1.148,-0.09,111720809.0,1.153,1.142,1.149
159995,芯片,1.08,2.27,415479727.972,1.096,1.048,1.056
518880,黄金,8.861,-0.16,1569342573.0,8.879,8.832,8.875
159915,创业板,3.297,-0.21,3064902058.895,3.334,3.279,3.304
