代码,名称,最新价,涨跌幅,成交额,今开,最高,最低,昨收
510300,沪深300,4.595,0.28,1909631155.0,4.586,4.615,4.581,4.582
588000,科创50,1.741,-0.17,4545352482.0,1.76,1.771,1.734,1.744
510880,红利,3.381,1.26,393741014.0,3.33,3.384,3.319,3.339
512800,银行,0.837,0.24,713461666.0,0.833,0.838,0.827,0.835
512170,医疗,0.347,2.06,494686704.0,0.341,0.349,0.34,0.34
159928,消费,0.656,0.61,172733069.3,0.653,0.658,0.649,0.652
512480,半导体,1.039,-0.19,832393145.0,1.052,1.057,1.035,1.041
159920,恒生,1.46,0.55,138134704.6,1.448,1.461,1.447,1.452
513130,恒生科技,0.542,-0.73,1346542979.0,0.543,0.549,0.541,0.546
516160,新能源,2.328,-0.26,84765435.0,2.332,2.346,2.324,2.334
512000,券商,0.507,0.4,462193623.0,0.506,0.508,0.505,0.505
512660,军工,1.173,1.12,214247012.0,1.16,1.18,1.158,1.16
159995,芯片,1.151,-0.09,635696642.604,1.164,1.172,1.147,1.152
518880,黄金,8.93,-0.88,3007083329.0,8.979,8.993,8.926,9.009
159915,创业板,3.403,0.35,4520920545.985,3.421,3.449,3.394,3.391
