代码,名称,现价,5日,20日,RSI,MA20,MA60,昨收
510300,沪深300,4.575,-0.09,-2.24,36,4.621,4.717,4.532
588000,科创50,1.761,7.44,0.92,47,1.7,1.862,1.696
510880,红利,3.339,-2.34,-1.42,45,3.429,3.269,3.347
512800,银行,0.837,-1.18,2.7,53,0.836,0.805,0.837
512170,医疗,0.339,3.67,-2.87,50,0.339,0.331,0.337
159928,消费,0.652,-0.91,-1.06,39,0.666,0.661,0.649
512480,半导体,1.05,9.38,0.77,43,1.004,1.235,1.001
159920,恒生,1.453,-0.27,-4.66,35,1.484,1.471,1.441
513130,恒生科技,0.543,0.93,-7.97,30,0.558,0.577,0.533
516160,新能源,2.318,0.7,-8.49,32,2.395,2.514,2.294
512000,券商,0.505,-0.2,-0.59,35,0.517,0.526,0.499
512660,军工,1.16,-0.6,4.79,49,1.139,1.152,1.142
159995,芯片,1.163,7.99,0.35,43,1.118,1.438,1.114
518880,黄金,8.911,-0.36,-5.08,43,9.147,8.789,8.856
159915,创业板,3.386,1.35,-4.89,41,3.386,3.601,3.319
