名称,收盘,5日,20日,RSI,MA20,MA60
半导体,1.041,8.437499999999986,-0.09596928982726904,51.03533816830245,1.00425,1.2067833333333333
科创50,1.744,6.406345332519825,-0.05730659025788842,52.455413753091236,1.69995,1.8557833333333333
芯片,1.152,6.9637883008356605,-0.6039689387403069,49.268356389215924,1.1176,1.40465
创业板,3.391,1.4965579167913745,-4.747191011235952,48.060543631524546,3.37785,3.5876499999999996
银行,0.835,-1.416765053128688,2.4539877300613577,51.77453789329003,0.8372999999999999,0.8069500000000001
黄金,9.009,0.738007380073813,-4.03706859821048,50.35073903232227,9.12855,8.798833333333333
医疗,0.34,3.975535168195732,-2.5787965616045683,52.554411622415316,0.33840000000000003,0.33213333333333334
