代码,名称,现价,5日,20日,RSI,MA20,MA60,昨收
510300,沪深300,4.549,-1.83,-5.25,39,4.658,4.749,4.579
588000,科创50,1.614,-5.34,-14.51,38,1.731,1.891,1.639
510880,红利,3.4,0.29,2.91,53,3.424,3.249,3.419
512800,银行,0.855,2.4,7.41,60,0.829,0.8,0.847
512170,医疗,0.332,-1.48,-5.95,40,0.342,0.329,0.327
159928,消费,0.657,-3.81,-1.5,43,0.669,0.658,0.658
512480,半导体,0.946,-5.59,-16.43,37,1.026,1.345,0.96
159920,恒生,1.462,-2.21,-2.6,38,1.495,1.467,1.457
513130,恒生科技,0.535,-4.97,-10.39,30,0.569,0.579,0.538
516160,新能源,2.32,-2.23,-11.59,31,2.446,2.562,2.302
512000,券商,0.504,-3.63,-3.45,38,0.519,0.528,0.506
512660,军工,1.151,0.0,-1.79,57,1.137,1.16,1.167
159995,芯片,1.058,-5.54,-16.23,37,1.141,1.564,1.077
518880,黄金,8.915,-1.21,-1.69,46,9.192,8.765,8.943
159915,创业板,3.302,-3.28,-12.09,41,3.45,3.668,3.341
