代码,名称,最新价,涨跌幅,成交额,最高,最低,昨收
510300,沪深300,4.621,-0.35,1378473110.0,4.64,4.599,4.637
588000,科创50,1.662,-0.54,2470641549.0,1.678,1.651,1.671
510880,红利,3.478,-0.57,205350590.0,3.502,3.471,3.498
512800,银行,0.85,0.95,686041451.0,0.852,0.839,0.842
512170,医疗,0.333,-1.19,260352994.0,0.336,0.331,0.337
159928,消费,0.667,-1.77,183811429.4,0.677,0.667,0.679
512480,半导体,0.979,-0.41,579894479.0,0.989,0.97,0.983
159920,恒生,1.464,-1.15,148692784.515,1.469,1.462,1.481
513130,恒生科技,0.537,-2.01,1408341223.0,0.542,0.536,0.548
516160,新能源,2.35,-0.51,46336321.0,2.356,2.321,2.362
512000,券商,0.521,0.58,583949781.0,0.523,0.515,0.518
512660,军工,1.187,0.59,292053089.0,1.19,1.169,1.18
159995,芯片,1.096,-0.36,255718064.1,1.109,1.085,1.1
518880,黄金,9.068,0.3,2037990531.0,9.081,9.051,9.041
159915,创业板,3.362,-0.33,2549800379.094,3.387,3.325,3.373
