名称,收盘,5日,20日,RSI,MA20,MA60
沪深300,4.613,1.99,-0.06,48,4.615,4.699
科创50,1.758,7.33,3.84,54,1.706,1.838
红利,3.38,-0.06,-0.85,49,3.423,3.29
银行,0.839,-0.47,2.19,54,0.839,0.81
医疗,0.348,4.82,0.29,59,0.339,0.333
消费,0.658,0.61,-0.9,46,0.665,0.663
半导体,1.051,9.02,4.27,52,1.008,1.143
恒生,1.473,1.45,-1.67,49,1.478,1.477
恒生科技,0.549,2.81,-3.85,44,0.553,0.577
新能源,2.334,1.52,-5.35,39,2.37,2.485
券商,0.511,2.0,0.39,47,0.517,0.525
军工,1.168,2.55,6.67,56,1.149,1.148
芯片,1.167,8.36,4.38,51,1.122,1.332
黄金,8.859,0.34,-7.07,44,9.063,8.815
创业板,3.42,4.65,0.03,50,3.376,3.558
