代码,名称,最新价,5日涨幅,20日涨幅
510300,沪深300,4.679,-1.06,-2.26
588000,科创50,1.746,-3.64,-7.52
510880,红利,3.391,3.61,3.38
512800,银行,0.818,1.87,1.87
512170,医疗,0.349,-1.69,7.38
159928,消费,0.66,-3.51,-1.49
512480,半导体,1.043,-2.34,-5.7
159920,恒生,1.518,1.74,1.61
513130,恒生科技,0.585,-2.01,0.0
516160,新能源,2.538,-1.09,2.09
512000,券商,0.508,-3.42,-5.75
512660,军工,1.104,-3.83,0.27
159995,芯片,1.159,-2.77,-8.16
518880,黄金,9.319,3.06,8.87
159915,创业板,3.555,-1.36,-1.17
