代码,名称,现价,5日,20日,RSI,MA20,MA60,昨收
510300,沪深300,4.567,-1.06,-3.36,43,4.665,4.755,4.617
588000,科创50,1.631,-2.22,-10.09,40,1.74,1.897,1.659
510880,红利,3.429,-0.26,4.04,61,3.418,3.243,3.473
512800,银行,0.851,0.35,6.78,64,0.827,0.799,0.853
512170,医疗,0.326,-3.83,-7.12,45,0.344,0.329,0.333
159928,消费,0.659,-4.08,-2.08,47,0.67,0.658,0.667
512480,半导体,0.955,-2.15,-11.33,38,1.032,1.37,0.976
159920,恒生,1.455,-3.58,-1.62,41,1.496,1.466,1.466
513130,恒生科技,0.536,-5.13,-8.69,30,0.571,0.579,0.537
516160,新能源,2.298,-2.17,-10.83,35,2.46,2.574,2.347
512000,券商,0.507,-3.98,-2.5,49,0.52,0.528,0.521
512660,军工,1.16,1.05,0.69,62,1.136,1.162,1.18
159995,芯片,1.074,-1.1,-10.72,38,1.148,1.593,1.095
518880,黄金,8.921,-2.65,-0.28,51,9.192,8.764,9.083
159915,创业板,3.323,0.54,-8.83,42,3.465,3.684,3.358
