代码,名称,最新价,涨跌幅,成交额,最高,最低,昨收
510300,沪深300,4.551,0.62,3482769031.0,4.555,4.485,4.523
588000,科创50,1.706,4.15,6536456699.0,1.712,1.638,1.638
510880,红利,3.363,-0.56,383174988.0,3.393,3.343,3.382
512800,银行,0.838,-0.59,720940384.0,0.848,0.833,0.843
512170,医疗,0.335,0.9,273956609.0,0.337,0.331,0.332
159928,消费,0.649,-0.76,189164388.98,0.654,0.644,0.654
512480,半导体,1.008,4.56,1215571221.0,1.012,0.962,0.964
159920,恒生,1.451,-0.07,103293210.18,1.457,1.444,1.452
513130,恒生科技,0.537,0.56,1560530048.0,0.537,0.528,0.534
516160,新能源,2.309,0.43,75346177.0,2.31,2.254,2.299
512000,券商,0.506,1.0,637004550.0,0.506,0.496,0.501
512660,军工,1.15,0.97,177891618.0,1.151,1.132,1.139
159995,芯片,1.122,4.18,669138197.781,1.128,1.075,1.077
518880,黄金,8.903,0.84,3849732598.0,8.924,8.804,8.829
159915,创业板,3.33,1.9,5356967957.971,3.346,3.246,3.268
