代码,名称,最新价,涨跌幅,成交额,最高,最低,昨收
510300,沪深300,4.54,-0.22,1650260167.0,4.568,4.524,4.55
588000,科创50,1.703,-0.29,4311240841.0,1.722,1.687,1.708
510880,红利,3.358,-0.27,264114632.0,3.359,3.33,3.367
512800,银行,0.839,0.0,578115717.0,0.845,0.832,0.839
512170,医疗,0.336,0.3,342138273.0,0.339,0.333,0.335
159928,消费,0.65,0.31,148634991.5,0.65,0.644,0.648
512480,半导体,1.007,-0.1,693093568.0,1.018,0.996,1.008
159920,恒生,1.44,-0.76,135668244.1,1.444,1.43,1.451
513130,恒生科技,0.531,-1.12,1156816176.0,0.535,0.528,0.537
516160,新能源,2.295,-0.35,56283828.0,2.314,2.287,2.303
512000,券商,0.5,-0.6,556294860.0,0.504,0.499,0.503
512660,军工,1.144,-0.52,156160866.0,1.16,1.136,1.15
159995,芯片,1.12,-0.36,493085094.646,1.133,1.108,1.124
518880,黄金,8.827,-0.88,3635349820.0,8.888,8.787,8.905
159915,创业板,3.336,0.18,4070966388.572,3.37,3.313,3.33
