名称,收盘,5日,10日,20日,结构
军工,1.15,0.0,-2.54,4.45,转强型
半导体,1.051,4.27,6.92,3.34,转弱型
芯片,1.161,3.29,5.55,2.65,转弱型
科创50,1.755,2.75,5.03,1.98,转弱型
医疗,0.349,4.18,3.56,1.16,加速型
银行,0.833,-0.72,-1.07,0.48,横盘型
创业板,3.399,2.07,0.77,-0.96,加速型
沪深300,4.59,0.88,-1.01,-1.33,加速型
消费,0.656,1.23,-3.39,-1.35,转强型
券商,0.51,1.39,-1.54,-2.49,加速型
红利,3.35,-0.5,-4.23,-2.62,转强型
恒生,1.46,0.62,-1.42,-3.31,加速型
恒生科技,0.542,0.93,-1.09,-6.07,加速型
黄金,8.897,-0.09,-1.59,-6.51,加速型
新能源,2.315,0.52,-1.99,-7.44,加速型
