代码,名称,现价,5日,20日,RSI,MA20,MA60,昨收
510300,沪深300,4.54,-1.67,-2.43,38,4.627,4.726,4.55
588000,科创50,1.703,2.65,-2.35,48,1.702,1.87,1.708
510880,红利,3.358,-3.31,-0.71,47,3.431,3.263,3.367
512800,银行,0.839,-1.64,2.57,54,0.835,0.804,0.839
512170,医疗,0.336,0.9,-6.41,48,0.34,0.331,0.335
159928,消费,0.65,-2.55,-2.84,38,0.667,0.66,0.648
512480,半导体,1.007,3.18,-3.08,45,1.006,1.265,1.008
159920,恒生,1.44,-1.77,-5.01,38,1.488,1.47,1.451
513130,恒生科技,0.531,-1.12,-9.54,32,0.561,0.577,0.537
516160,新能源,2.295,-2.22,-8.09,33,2.405,2.526,2.303
512000,券商,0.5,-4.03,-1.57,38,0.517,0.527,0.503
512660,军工,1.144,-3.05,4.28,51,1.136,1.154,1.15
159995,芯片,1.12,2.28,-2.69,44,1.12,1.472,1.124
518880,黄金,8.827,-2.82,-4.41,45,9.166,8.779,8.905
159915,创业板,3.336,-0.66,-5.01,42,3.396,3.619,3.33
