代码,名称,现价,5日,20日,RSI,MA20,MA60,昨收
510300,沪深300,4.547,-1.67,-5.01,36,4.645,4.74,4.552
588000,科创50,1.642,-2.32,-13.03,36,1.718,1.883,1.613
510880,红利,3.393,-1.54,1.59,51,3.429,3.253,3.404
512800,银行,0.848,1.07,5.74,64,0.832,0.802,0.856
512170,医疗,0.334,-2.05,-5.38,47,0.341,0.33,0.334
159928,消费,0.657,-3.81,-2.09,42,0.669,0.659,0.657
512480,半导体,0.967,-2.13,-14.58,35,1.016,1.318,0.947
159920,恒生,1.457,-1.95,-2.87,40,1.493,1.468,1.462
513130,恒生科技,0.538,-2.71,-8.97,30,0.566,0.578,0.536
516160,新能源,2.324,-1.61,-11.16,35,2.431,2.549,2.324
512000,券商,0.502,-3.46,-2.52,37,0.518,0.528,0.503
512660,军工,1.148,-1.2,-1.8,51,1.136,1.158,1.149
159995,芯片,1.08,-2.35,-14.56,35,1.131,1.533,1.056
518880,黄金,8.861,-2.06,-2.39,43,9.182,8.768,8.875
159915,创业板,3.297,-2.34,-11.44,39,3.427,3.65,3.304
