代码,名称,最新价,涨跌幅,成交额,最高,最低,昨收
510300,沪深300,4.549,-0.66,1751711789.0,4.574,4.538,4.579
588000,科创50,1.614,-1.53,3528340810.0,1.629,1.603,1.639
510880,红利,3.4,-0.56,280719062.0,3.439,3.399,3.419
512800,银行,0.855,0.94,689217366.0,0.86,0.848,0.847
512170,医疗,0.332,1.53,296619919.0,0.335,0.325,0.327
159928,消费,0.657,-0.15,124002824.917,0.661,0.654,0.658
512480,半导体,0.946,-1.46,603705874.0,0.957,0.935,0.96
159920,恒生,1.462,0.34,122129559.4,1.463,1.448,1.457
513130,恒生科技,0.535,-0.56,1097431374.0,0.538,0.531,0.538
516160,新能源,2.32,0.78,71356581.0,2.338,2.298,2.302
512000,券商,0.504,-0.4,413184209.0,0.505,0.501,0.506
512660,军工,1.151,-1.37,220872133.0,1.166,1.148,1.167
159995,芯片,1.058,-1.76,384433663.136,1.07,1.049,1.077
518880,黄金,8.915,-0.31,2875065752.0,8.95,8.893,8.943
159915,创业板,3.302,-1.17,3158020143.726,3.349,3.28,3.341
